dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
SEA,3,confirmed,False,adwin,0.6444936823267781,0.8621950872885975,0.0,0.0
SEA,3,confirmed,False,d3_oof,0.43817702080323206,0.5055466251943271,0.0,0.0
SEA,3,confirmed,False,hddm_w,0.4395779642431023,0.6419825708501303,0.0,0.0
SEA,3,confirmed,False,hellinger,1.7026489904637658,2.0534347717044805,0.0,0.0
SEA,3,confirmed,True,adwin,1.2635354289301033,1.50344036533319,-24.681042269908904,21.787087011038267
SEA,3,confirmed,True,d3_oof,0.0,0.0,0.0,0.0
SEA,3,confirmed,True,hddm_w,1.3206429753928384,1.575014823109307,-21.349438598976707,20.80122174259128
SEA,3,confirmed,True,hellinger,0.7274491964047095,0.8730984953442933,-7.092253819122977,2.3680469202207197
SEA,3,immediate,False,adwin,-2.3831977499658117,-2.4906050799067603,0.0,0.0
SEA,3,immediate,False,d3_oof,1.0673567508390842,1.321265136563891,0.0,0.0
SEA,3,immediate,False,hddm_w,-2.5045652652461095,-2.597166148847744,0.0,0.0
SEA,3,immediate,False,hellinger,0.13338026469860523,0.29544250642745684,0.0,0.0
SEA,3,immediate,True,adwin,1.0217797562502036,1.2041577565677624,-68.32753973950771,41.78848645472083
SEA,3,immediate,True,d3_oof,0.550455056807723,0.694011967075255,-10.477967483502544,8.859768330595394
